cik,company,event_date,source,chapter,sic,excluded_sic,reason,n_usgaap_tags,n_quarters_extracted
1083036,ELECTRONIC GAME CARD INC,2010-09-29,8K_FTS+8K_SUBMISSIONS,,3990.0,,no 10-K/10-Q with a period end in 2010-2024,,
1240722,SOLOMON TECHNOLOGIES INC,2010-09-30,8K_FTS+8K_SUBMISSIONS,,3621.0,,no 10-K/10-Q with a period end in 2010-2024,,
1393614,"Kentucky USA Energy, Inc.",2010-10-07,8K_FTS+8K_SUBMISSIONS,,1311.0,,no entry in companyfacts.zip (never filed XBRL),,
913665,TerreStar Corporation (TerreStar Networks Inc. only) (2010),2010-10-19,8K_FTS+8K_SUBMISSIONS+LOPUCKI,11.0,4899.0,,no entry in companyfacts.zip (never filed XBRL),,
1289370,MetaMorphix Inc.,2010-10-22,8K_FTS+8K_SUBMISSIONS,,2834.0,,no 10-K/10-Q with a period end in 2010-2024,,
904901,WatchIt Technologies Inc.,2010-10-22,8K_SUBMISSIONS,,7389.0,,no 10-K/10-Q with a period end in 2010-2024,,
895648,GENERAL GROWTH PROPERTIES INC,2010-10-27,8K_FTS+8K_SUBMISSIONS,,6798.0,6798.0,SIC excluded (financial 6000-6799),,
726990,AMERICANWEST BANCORPORATION,2010-10-28,8K_FTS+8K_SUBMISSIONS+LOPUCKI,11.0,6022.0,6022.0,SIC excluded (financial 6000-6799),,
1405419,GULFSTREAM INTERNATIONAL GROUP INC,2010-11-05,8K_FTS+8K_SUBMISSIONS,,4512.0,,no entry in companyfacts.zip (never filed XBRL),,
104599,CIRCUIT CITY STORES INC,2010-11-05,8K_FTS+8K_SUBMISSIONS,,5731.0,,no 10-K/10-Q with a period end in 2010-2024,,
874501,"Ambac Financial Group, Inc.",2010-11-08,8K_FTS+8K_SUBMISSIONS+LOPUCKI,11.0,6351.0,6351.0,SIC excluded (financial 6000-6799),,
1284453,VISUAL MANAGEMENT SYSTEMS INC,2010-11-10,8K_FTS+8K_SUBMISSIONS,,3669.0,,no entry in companyfacts.zip (never filed XBRL),,
1178717,"Vertis, Inc. (2010)",2010-11-17,LOPUCKI,11.0,7311.0,,no 10-K/10-Q with a period end in 2010-2024,,
853927,"American Media Operations, Inc.",2010-11-17,LOPUCKI,11.0,2721.0,,no 10-K/10-Q with a period end in 2010-2024,,
1439600,"Local Insight Regatta Holdings, Inc.",2010-11-17,8K_FTS+8K_SUBMISSIONS+LOPUCKI,11.0,2741.0,,no entry in companyfacts.zip (never filed XBRL),,
923473,"Palm Harbor Homes, Inc.",2010-11-29,8K_FTS+8K_SUBMISSIONS+LOPUCKI,11.0,2452.0,,no entry in companyfacts.zip (never filed XBRL),,
1329605,PLATINUM ENERGY RESOURCES INC,2010-12-01,8K_FTS+8K_SUBMISSIONS,,1311.0,,no entry in companyfacts.zip (never filed XBRL),,
928800,KH FUNDING CO,2010-12-06,8K_FTS+8K_SUBMISSIONS,,6162.0,,no 10-K/10-Q with a period end in 2010-2024,,
840216,CALIFORNIA COASTAL COMMUNITIES INC,2010-12-08,8K_FTS+8K_SUBMISSIONS,,1531.0,,no entry in companyfacts.zip (never filed XBRL),,
1452206,"Ad Systems Communications, Inc.",2010-12-09,8K_FTS+8K_SUBMISSIONS,,7389.0,,no entry in companyfacts.zip (never filed XBRL),,
1410637,"RHI Entertainment, Inc.",2010-12-10,8K_FTS+8K_SUBMISSIONS+LOPUCKI,11.0,7812.0,,no entry in companyfacts.zip (never filed XBRL),,
1340752,"Molecular Insight Pharmaceuticals, Inc.",2010-12-14,8K_FTS+8K_SUBMISSIONS,,2834.0,,no entry in companyfacts.zip (never filed XBRL),,
1145238,INSIGHT HEALTH SERVICES HOLDINGS CORP,2010-12-14,8K_FTS+8K_SUBMISSIONS,,8071.0,,no entry in companyfacts.zip (never filed XBRL),,
29806,Constar International Inc. (2011),2011-01-11,8K_FTS+8K_SUBMISSIONS+LOPUCKI,11.0,3080.0,,no entry in companyfacts.zip (never filed XBRL),,
1295879,CommunitySouth Financial CORP,2011-01-24,8K_FTS+8K_SUBMISSIONS,,6021.0,6021.0,SIC excluded (financial 6000-6799),,
1092302,JAVO BEVERAGE CO INC,2011-01-24,8K_FTS+8K_SUBMISSIONS,,2080.0,,no entry in companyfacts.zip (never filed XBRL),,
1094572,"ICOP DIGITAL, INC",2011-01-25,8K_FTS+8K_SUBMISSIONS,,3663.0,,no entry in companyfacts.zip (never filed XBRL),,
897861,FIRST STATE BANCORPORATION,2011-02-01,8K_FTS+8K_SUBMISSIONS+LOPUCKI,7.0,6022.0,6022.0,SIC excluded (financial 6000-6799),,
1346222,FIRST UNITED ETHANOL LLC,2011-02-02,8K_FTS+8K_SUBMISSIONS,,2860.0,,no entry in companyfacts.zip (never filed XBRL),,
1452384,"Seahawk Drilling, Inc.",2011-02-11,8K_FTS+8K_SUBMISSIONS+LOPUCKI,11.0,1381.0,,no entry in companyfacts.zip (never filed XBRL),,
1235091,PSB GROUP INC,2011-02-14,8K_FTS+8K_SUBMISSIONS,,6021.0,6021.0,SIC excluded (financial 6000-6799),,
96638,ADVANTA CORP,2011-02-16,8K_FTS+8K_SUBMISSIONS,,6141.0,,no 10-K/10-Q with a period end in 2010-2024,,
940510,"Borders Group, Inc.",2011-02-16,8K_FTS+8K_SUBMISSIONS+LOPUCKI,11.0,5940.0,,no entry in companyfacts.zip (never filed XBRL),,
754597,HABERSHAM BANCORP,2011-02-23,8K_FTS+8K_SUBMISSIONS,,6022.0,6022.0,SIC excluded (financial 6000-6799),,
71322,BANK OF NEW ENGLAND CORP,2011-02-28,8K_SUBMISSIONS,,6021.0,,no 10-K/10-Q with a period end in 2010-2024,,
790414,GOTTSCHALKS INC,2011-03-02,8K_FTS+8K_SUBMISSIONS,,5311.0,,no 10-K/10-Q with a period end in 2010-2024,,
1289871,MPC CORP,2011-03-14,8K_FTS+8K_SUBMISSIONS,,7372.0,,no 10-K/10-Q with a period end in 2010-2024,,
1122101,"EPIC ENERGY RESOURCES, INC.",2011-03-24,8K_FTS+8K_SUBMISSIONS,,8742.0,,no entry in companyfacts.zip (never filed XBRL),,
1076462,ALPHATRADE COM,2011-03-28,8K_FTS+8K_SUBMISSIONS,,7389.0,,no entry in companyfacts.zip (never filed XBRL),,
1334127,"Harry & David Holdings, Inc.",2011-03-28,8K_FTS+8K_SUBMISSIONS,,5990.0,,no entry in companyfacts.zip (never filed XBRL),,
