cik,company,event_date,prior_event_date,n_events,all_event_dates,source,chapter,sic,is_primary_filer,date_discrepancy_days,in_window
40675,GENERAL KINETICS INC,2007-02-15,,1,2007-02-15,8K_SUBMISSIONS,,3490.0,1,,0
1107802,"HEADLINERS ENTERTAINMENT GROUP, INC.",2007-03-09,,1,2007-03-09,8K_SUBMISSIONS,,7900.0,1,,0
1112424,HIENERGY TECHNOLOGIES INC,2007-03-15,,1,2007-03-15,8K_SUBMISSIONS,,3826.0,1,,0
1302977,Wornick CO,2007-03-20,,1,2007-03-20,8K_SUBMISSIONS,,2030.0,1,,0
1066281,DURAVEST INC,2007-03-26,,2,2007-03-26;2008-06-23,8K_SUBMISSIONS,,6770.0,1,,0
1287286,New Century Financial Corporation,2007-04-02,,1,2007-04-02,8K_SUBMISSIONS+LOPUCKI,11,6798,1,4,0
1162721,CYGNUS OIL & GAS CORP,2007-04-05,,1,2007-04-05,8K_SUBMISSIONS,,1311.0,1,,0
1387580,GSAMP Trust 2007-NC1,2007-04-06,,1,2007-04-06,8K_SUBMISSIONS,,6189.0,1,,0
818074,ALL AMERICAN SEMICONDUCTOR INC,2007-04-27,,1,2007-04-27,8K_SUBMISSIONS,,5065.0,1,,0
1071598,PAC-WEST TELECOMM INC,2007-05-01,,1,2007-05-01,8K_SUBMISSIONS,,4813.0,1,,0
109870,GLASSMASTER CO,2007-05-02,,1,2007-05-02,8K_SUBMISSIONS,,2820.0,1,,0
855109,"MidgardXXI, Inc.",2007-05-03,,1,2007-05-03,8K_SUBMISSIONS,,3572.0,1,,0
81050,Chazak Value Corp.,2007-05-18,,1,2007-05-18,8K_SUBMISSIONS,,3577.0,1,,0
1084103,NETWOLVES CORP,2007-05-22,,1,2007-05-22,8K_SUBMISSIONS,,4899.0,1,,0
318262,"PLASTICON INTERNATIONAL, INC.",2007-05-25,,1,2007-05-25,8K_SUBMISSIONS,,3080.0,1,,0
1216964,SILVER STAR ENERGY INC,2007-06-08,,1,2007-06-08,8K_SUBMISSIONS,,1311.0,1,,0
1060390,TWEETER HOME ENTERTAINMENT GROUP INC,2007-06-11,,1,2007-06-11,8K_SUBMISSIONS+LOPUCKI,11,5731.0,1,0,0
1111697,DOBI MEDICAL INTERNATIONAL INC,2007-06-19,,1,2007-06-19,8K_SUBMISSIONS,,3845.0,1,,0
1204853,TMT CAPITAL CORP,2007-06-26,,1,2007-06-26,8K_SUBMISSIONS,,4813.0,1,,0
1342792,WORLDWIDE STRATEGIES INC,2007-06-29,,1,2007-06-29,8K_SUBMISSIONS,,7372.0,1,,0
